"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"Potions","https://get-potions.com/","","https://www.linkedin.com/company/get-potions","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@get-potions.com","120 rue Cesaire Levillain
76230 Bois-Guillaume
FRANCE
contact@get-potions.com
https://get-potions.com/","","","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
E-merchandising
MARKETING / DATA / CUSTOMER RELATIONS
Ergonomics / UX","","","",""
"PayXpert","https://www.payxpert.com/","https://www.facebook.com/payxpert","https://www.linkedin.com/company/payxpert","https://twitter.com/PayXpert","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/esp.svg","SPAIN","sales@payxpert.com","30 Churchill Place
E14 5RE London
SPAIN
sales@payxpert.com
https://www.payxpert.com/","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Online payment
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","","","",""
"Synolia","https://www.synolia.com/","https://www.facebook.com/agenceSynolia","https://www.linkedin.com/company/synolia","https://twitter.com/synolia","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@synolia.com","59 rue de l'Abondance
69003 Lyon
FRANCE
contact@synolia.com
https://www.synolia.com/","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Technical integration
Websites development / E-shops","","","",""
"Yocuda","https://yocuda.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","","7th Floor, 52 Grosvenor Gardens
SW1W 0AU London
UNITED KINGDOM

https://yocuda.com/","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Loyalty","","","",""
"Newland EMEA","http://www.newland-id.com/en","https://www.facebook.com/Newland-EMEA-108903788339834","https://www.linkedin.com/company/newland-emea/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","info@newland-id.com","Rolweg 25
4104 AV Culemborg
NETHERLANDS
info@newland-id.com
http://www.newland-id.com/en","","","DATA","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
RETAIL TECH / DIGITAL IN STORE
Computer equipment / Smartphone / Tablets
Self-scanning
Touch screens / Touch tables","","","",""
"CUBYN","https://www.cubyn.com","","https://www.linkedin.com/company/cubyn/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@cubyn.com","2-4 rue Jules Lefebvre
75009 Paris
FRANCE
hello@cubyn.com
https://www.cubyn.com","How to turn delivery into a growth lever?","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
Warehouse Management / Inventory Management / Financial Management","Solutions Workshops","How to turn delivery into a growth lever?","",""
"Datalogic","http://www.datalogic.com","https://www.facebook.com/DatalogicGroup","https://www.linkedin.com/company/datalogic","https://twitter.com/DatalogicGroup?lang=en","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing.fr@datalogic.com","13 avenue de Norvège
91140 Villebon-sur-Yvette
FRANCE
marketing.fr@datalogic.com
http://www.datalogic.com","Benefits of Artificial Intelligence - for automatic product recognition in retail markets","Datalogic is a global technology leader in the automatic data capture and factory automation markets, specialized in the designing and production of barcode readers, mobile computers, sensors for detection, measurement and safety, RFID, vision and laser marking systems.","DATA","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","Solutions Workshops","Benefits of Artificial Intelligence - for automatic product recognition in retail markets","",""
"DQE","https://dqe.tech/","","","https://twitter.com/dqe_software","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info_dqe@dqe-software.com","102-116 rue Victor Hugo
92300 Levallois-Perret
FRANCE
info_dqe@dqe-software.com
https://dqe.tech/","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Data / Effectiveness measurement / Processing / Database","","","",""
"Billiv","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","lena@billiv.fr","79 Rue Notre-Dame des Champs, 6e Arron
75006 Paris 06
FRANCE
lena@billiv.fr","","","","","","","",""
"Bringg","http://www.bringg.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/isr.svg","ISRAEL","idit.blank@bringg.com","132 Begin road
6701101 Tel Aviv
ISRAEL
idit.blank@bringg.com
http://www.bringg.com","Transforming the Role of the Store: Leverage Local Fulfillment as Your Competitive Advantage","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
Return management (reverse logistics)","Solutions Workshops","Transforming the Role of the Store: Leverage Local Fulfillment as Your Competitive Advantage","",""
"MAGELLAN","https://www.magellanset.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@magellanset.com","Le Palais d'Hiver
149 Boulevard Stalingrad
69100 Villeurbanne
FRANCE
contact@magellanset.com
https://www.magellanset.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Secure payment","","","",""
"DATASOLUTION","http://www.datasolution.fr","https://www.linkedin.com/company/datasolution/","https://www.linkedin.com/company/datasolution/","https://www.linkedin.com/company/datasolution/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@datasolution.fr","224 rue du Faubourg Saint-Antoine
75012 Paris
FRANCE
info@datasolution.fr
http://www.datasolution.fr","How to build a modular and scalable ecommerce platform? Some insights with Saint Maclou and its headless Shopify Plus architecture","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
Digital transformation consulting
IT FOR COMMERCE
E-commerce platforms","Solutions Workshops","How to build a modular and scalable ecommerce platform? Some insights with Saint Maclou and its headless Shopify Plus architecture","",""
"IN THE MEMORY","https://www.inthememory.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","nadia.elyazidi@inthememory.com","101 Rue Réaumur
75002 Paris 2
FRANCE
nadia.elyazidi@inthememory.com
https://www.inthememory.com/","","","","","","","",""
"Trusted Shops France","https://trustedshops.fr","https://www.facebook.com/trustedshopsFR ","https://www.linkedin.com/company/trustedshops/mycompany/","https://twitter.com/trustedshops_fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@trustedshops.fr","104 Rue Nationale
59800 Lille
FRANCE
sales@trustedshops.fr
https://trustedshops.fr","","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
Loyalty","","","",""
"ONEFIRST","https://onefirstgroup.com/","","https://www.linkedin.com/company/onefirstgroup/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@onefirstgroup.com","47, rue Roque de Fillol
92800 Puteaux
FRANCE
contact@onefirstgroup.com
https://onefirstgroup.com/","","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
Digital transformation consulting
IT FOR COMMERCE
Websites development / E-shops","","","",""
"HIPAY","https://hipay.com/fr/","","https://www.linkedin.com/company/hipay/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@hipay.com","94 rue de Villiers
92300 Levallois-Perret
FRANCE
contact@hipay.com
https://hipay.com/fr/","Seamless payment service online and in store","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech","Solutions Workshops","Seamless payment service online and in store","",""
"NEYRET","https://www.neyret.com/","","https://www.linkedin.com/company/neyret-textile-identification","https://twitter.com/NeyretTextile","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@neyret.com","ZA Côte Thiollière
42014 Saint-Etienne Cedex 2
FRANCE
info@neyret.com
https://www.neyret.com/","","","DATA","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Tag manufacturers and labelling machines
RETAIL TECH / DIGITAL IN STORE
Labelling / Coding","","","",""
"FRENCHSYS & ELITT","http://www.frenchsys.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@frenchsys.com","27 avenue de l'Opéra
75001 Paris
FRANCE
contact@frenchsys.com
http://www.frenchsys.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Payment Kiosk / Payment terminal","","","",""
"DAC FRANCE","https://www.dacgroup.com/fr/","","https://www.linkedin.com/showcase/dac-group-fr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","cbellenger@dacgroup.com","32, rue Alexandre Dumas
75011 Paris
FRANCE
cbellenger@dacgroup.com
https://www.dacgroup.com/fr/","How digital benefits to your local communication and omnichannel ROI ?","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
Digital transformation consulting
MARKETING / DATA / CUSTOMER RELATIONS
SEO / SEA","Solutions Workshops","How digital benefits to your local communication and omnichannel ROI ?","",""
"CHRONOPOST","https://www.chronopost.fr/fr/professionnel#/step-home","https://www.facebook.com/chronopost","https://www.linkedin.com/company/chronopost/","https://twitter.com/chronopost","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","dc.contact.commercial@chronopost.fr","Direction Commerciale et Marketing
3 boulevard Romain Rolland
75014 Paris
FRANCE
dc.contact.commercial@chronopost.fr
https://www.chronopost.fr/fr/professionnel#/step-home","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery
National transport","","","",""
"NEXTAIL","https://nextail.co/","https://www.facebook.com/nextaillabs/","https://www.linkedin.com/company/nextaillabs/","https://twitter.com/Nextail_co","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/esp.svg","SPAIN","info@nextail.co","Calle Belalcazar 14
28006 Madrid
SPAIN
info@nextail.co
https://nextail.co/","Is your merchandising function agile and robust enough to match your omnichannel development?","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","Solutions Workshops","Is your merchandising function agile and robust enough to match your omnichannel development?","",""
"SYLIUS","https://sylius.com/","https://www.linkedin.com/company/sylius/","https://www.linkedin.com/company/sylius/","https://twitter.com/sylius/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","bonjour@sylius.com","Mieszka I 5
92415 Lódz
FRANCE
bonjour@sylius.com
https://sylius.com/","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
Websites development / E-shops","","","",""
"CLUB DIGITAL MEDIA","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","deleguegeneral@clubdigitalmedia.fr","68 bis boulevard Pereire
75017 Paris
FRANCE
deleguegeneral@clubdigitalmedia.fr","The digitalization of Retail in France: Dream or Reality? Observatory of digital equipment in points of sale after 2 pivotal years","","","","Solutions Workshops","The digitalization of Retail in France: Dream or Reality? Observatory of digital equipment in points of sale after 2 pivotal years","",""
"Studio Waaz","http://www.studiowaaz.com","","https://www.linkedin.com/company/studio-waaz/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@studiowaaz.com","10 rue des Mésanges
64200 Biarritz
FRANCE
contact@studiowaaz.com
http://www.studiowaaz.com","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
CMS / Web content management
Websites development / E-shops","","","",""
"Custom spa","https://www.custom.biz/en_GB/home","https://www.facebook.com/CustomSpa/","https://it.linkedin.com/company/customspa","https://twitter.com/custom_group","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/ita.svg","ITALY","info@custom.biz","Via Berettine, 2
43010 Fontevivo (PR)
ITALY
info@custom.biz
https://www.custom.biz/en_GB/home","","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Tag manufacturers and labelling machines
RETAIL TECH / DIGITAL IN STORE
Printing Solutions: Software, 3D…","","","",""
"LA POSTE - COLISSIMO","http://www.laposte.fr/colissimo-entreprise","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","lea.margottin@laposte.fr","9 rue du Colonel Pierre Avia
75015 Paris Cedex 15
FRANCE
lea.margottin@laposte.fr
http://www.laposte.fr/colissimo-entreprise","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
National transport
Return management (reverse logistics)","","","",""
"LA BRIGADE DU WEB","https://mydigitalweek.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","4 allée du Champreau
91190 Gif-sur-Yvette
FRANCE

https://mydigitalweek.com/","The Best Practices of the retail industry on social networks in 2022 by La Brigade du Web","","","","Solutions Workshops","The Best Practices of the retail industry on social networks in 2022 by La Brigade du Web","",""
"Market Pay","https://www.market-pay.com/","","https://www.linkedin.com/company/market-pay","https://twitter.com/market_pay","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","fr_contact_marketpay@market-pay.com","9 rue du 4 septembre
75002 Paris
FRANCE
fr_contact_marketpay@market-pay.com
https://www.market-pay.com/","SoftPOS: How to improve your proximity payment transformation rate? Discover the testimony of Carrefour and Maty on PayWish®.","Market Pay is a French Fintech that provides merchants with an omnichannel and international payment platform. We implement innovative and simple payment solutions that support the growth of merchants.","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
Fintech
M-payment
Online payment
Secure payment
RETAIL TECH / DIGITAL IN STORE
Mobile applications","Solutions Workshops","SoftPOS: How to improve your proximity payment transformation rate? Discover the testimony of Carrefour and Maty on PayWish®.","Pay On Site","With the Pay On Site solution, take advantage of a centralized, state-of-the-art acceptance platform linked to our pre-acquisition solution. Benefit from maintenance and technical support to assist you in integrating the terminals with the POS system, with a choice of USB, RS232 or Internet connection."
"Taxdoo GmbH","https://www.taxdoo.com/fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","claire.stephan@taxdoo.com","Valentinskamp 70
20355 Hamburg
GERMANY
claire.stephan@taxdoo.com
https://www.taxdoo.com/fr/","","","","","","","",""
"WORLDLINE","https://fr.worldline.com/fr/home.html","","https://www.linkedin.com/company/worldlineglobal/","https://twitter.com/WorldlineFrance?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","juliette.comte@worldline.com","1 place des Degrés
92800 Puteaux
FRANCE
juliette.comte@worldline.com
https://fr.worldline.com/fr/home.html","How does Auchan place payment at the heart of its e-commerce performance?","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Payment Kiosk / Payment terminal","Solutions Workshops","How does Auchan place payment at the heart of its e-commerce performance?","",""
"ARTIFAKT - DEPLOY FAST, STAY ONLINE","http://www.artifakt.com","","https://www.linkedin.com/company/artifakt-paas/mycompany/","https://twitter.com/artifakt_com","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@artifakt.com","14 rue d'Uzès
75002 Paris
FRANCE
sales@artifakt.com
http://www.artifakt.com","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Website hosting","","","",""
"MONEXT","http://www.monext.fr","https://www.facebook.com/monextcom","https://www.linkedin.com/company/203106/admin/","https://twitter.com/monextcom","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","communication@monext.fr","Tour Ariane
5 place de la Pyramide
92088 Paris-La Défense cedex
FRANCE
communication@monext.fr
http://www.monext.fr","","MONEXT offers you payment solutions that are increasingly smarter.","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Secure payment","","","",""
"VERIFONE SYSTEMS FRANCE SAS","https://www.verifone.com/fr/fr","","https://www.linkedin.com/company/verifone","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","emea.marketing@verifone.com","10-12 rue Paul Dautier
78140 Velizy Villacoublay
FRANCE
emea.marketing@verifone.com
https://www.verifone.com/fr/fr","","Payments for every shopper experience.","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Contactless payment
M-payment
Online payment
Payment Kiosk / Payment terminal
Secure payment","","","",""
"Lemonway","http://www.lemonway.com","https://www.facebook.com/lemonway","https://www.linkedin.com/company/lemonway/","https://twitter.com/LemonWay","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","asonor@lemonway.com","8 rue du Sentier
75002 Paris
FRANCE
asonor@lemonway.com
http://www.lemonway.com","How did Lemonway's modular offer allow Decathlon to launch its marketplace in 12 countries in 12 months ?","","MARKETPLACES","PAYMENT SOLUTIONS
Fintech
Secure payment","Solutions Workshops","How did Lemonway's modular offer allow Decathlon to launch its marketplace in 12 countries in 12 months ?","",""
"ANYLINE","https://anyline.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/aut.svg","AUSTRIA","hello@anyline.com","Zirkusgasse 13/2b
1020 Wien
AUSTRIA
hello@anyline.com
https://anyline.com/","","","","","","","",""
"OneStock","http://www.onestock-retail.com","","www.linkedin.com/company/onestock","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@onestock-retail.com","8 rue des Trente-Six Ponts
31400 Toulouse
FRANCE
contact@onestock-retail.com
http://www.onestock-retail.com","How Petit Bateau is boosting its omnichannel strategy for an enhanced and more sustainable user experience?","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
Logistics & Supply chain softwares
Multi-channel logistics
Order management
Return management (reverse logistics)
Warehouse Management / Inventory Management / Financial Management","Solutions Workshops","How Petit Bateau is boosting its omnichannel strategy for an enhanced and more sustainable user experience?","",""
"RAJA","http://www.raja.fr","https://www.facebook.com/RAJAEMBALLAGES/","https://www.linkedin.com/company/raja/","https://twitter.com/raja_emballages","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@raja.fr","16 rue de L'étang
ZI Paris Nord 2
95977 Roissy-CDG cedex
FRANCE
contact@raja.fr
http://www.raja.fr","How does shipping packaging meet the challenges of eco-responsibility?","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
Express delivery / Final mile delivery
Packaging
Return management (reverse logistics)
Storage / Drop shipping","Solutions Workshops","How does shipping packaging meet the challenges of eco-responsibility?","Manual stretch paper for palletizing","Manual stretch paper is the ecological alternative to manual plastic stretch film.

Resistant : stretch paper up to 30%, elastic and tear resistant.
Easy to apply: slightly sticky inner side for easy application.
Ecological : made of 45 g/m² crepe kraft paper, it is 100% recyclable."
"Soldo","http://www.soldo.com","","https://www.linkedin.com/company/soldo","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","businesssupport@soldo.com","119 Marylebone Road
NW1 5PU London
UNITED KINGDOM
businesssupport@soldo.com
http://www.soldo.com","Instant Payment: Cash In & Cash Out - what opportunities for real-time business management","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Digital Wallet
Payment card solutions","Solutions Workshops","Instant Payment: Cash In & Cash Out - what opportunities for real-time business management","",""
"Zendesk","http://www.zendesk.fr","https://www.facebook.com/ZendeskFrance/","https://www.linkedin.com/company/zendesk/","https://twitter.com/Zendesk","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","support@zendesk.com","7 Etage de l'Arche Coeur
266 place Ernest Garnier
34000 Montpellier
FRANCE
support@zendesk.com
http://www.zendesk.fr","","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","","","",""
"AD4SCREEN","https://ad4screen.com/","https://fr.linkedin.com/company/ad4screen","https://fr.linkedin.com/company/ad4screen","https://twitter.com/ad4screen","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@ad4screen.com","8 ue de Choiseul
75002 Paris
FRANCE
info@ad4screen.com
https://ad4screen.com/","","","MARKETING","CONSULTING AGENCIES
Digital transformation consulting
MARKETING / DATA / CUSTOMER RELATIONS
Mobile Marketing","","","",""
"Hive Technologies France SAS","https://www.hive.app","","https://www.linkedin.com/company/hive-logistics/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hi@hive-logistics.com","50 rue Taitbout
75009 Paris
FRANCE
hi@hive-logistics.com
https://www.hive.app","How to grow your D2C brand by leveraging your operations?","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
MARKETING / DATA / CUSTOMER RELATIONS
Loyalty","Solutions Workshops","How to grow your D2C brand by leveraging your operations?","",""
"BEYABLE","https://marketing.beyable.com/","","https://www.linkedin.com/company/beyable/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@beyable.com","241 Boulevard Voltaire
75011 Paris
FRANCE
contact@beyable.com
https://marketing.beyable.com/","","","MARKETING","IT FOR COMMERCE
E-merchandising
MARKETING / DATA / CUSTOMER RELATIONS
AB Testing / Online Selling Efficiency
Analytics / Audit / Audience measuring
Loyalty 
Marketing automation
Predictive marketing","","","",""
"Shopopop","http://www.shopopop.com","https://www.facebook.com/shopopopFR?utm_source=hs_email&utm_medium=email&_hsenc=p2ANqtz-91zk2PscNhy9","https://www.linkedin.com/company/shopopop/?utm_source=hs_email&utm_medium=email&_hsenc=p2ANqtz-91zk2","https://twitter.com/shopopopfr?utm_campaign=CG__FRFR_AUTO_COVEREDZONE_SURVEY_TELLUSEVERYTHING&utm_so","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@shopopop.com","25 rue du Ranzay
44300 Nantes
FRANCE
contact@shopopop.com
http://www.shopopop.com","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery
Specialized logistics  (bulky goods, high-tech, fresh goods…)","","","",""
"Colorz","http://www.colorz.fr","","https://www.linkedin.com/company/colorz","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@colorz.fr","16 bis avenue Parmentier
75011 Paris
FRANCE
hello@colorz.fr
http://www.colorz.fr","How Jott transformed its customers' omnichannel and global experience with Shopify Plus in 4 months ?","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
MARKETING / DATA / CUSTOMER RELATIONS
Marketing automation","Solutions Workshops","How Jott transformed its customers' omnichannel and global experience with Shopify Plus in 4 months ?","",""
"FUJIAN NEWLAND PAYMENT TECHNOLOGY CO., LTD. (NEWLAND NPT)","https://www.newlandnpt.com/","","https://www.linkedin.com/company/newlandnpt/mycompany/","https://twitter.com/NewlandNPT","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/chn.svg","CHINA","pos@newlandnpt.com","Newland Science & Technology Park
350015 Fuzhou
CHINA
pos@newlandnpt.com
https://www.newlandnpt.com/","Discover how Newland is setting a new standard for customer engagement at the point of interaction.","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Marketing automation","Solutions Workshops","Discover how Newland is setting a new standard for customer engagement at the point of interaction.","",""
"LINK MOBILITY","https://www.linkmobility.fr/","","https://www.linkedin.com/company/linkmobility-group","https://twitter.com/LINK_Mobility","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info.fr@linkmobility.com","Immeuble ARDEKO
62 Avenue Emile Zola
92100 Boulogne-Billancourt
FRANCE
info.fr@linkmobility.com
https://www.linkmobility.fr/","Reinvent the customer experience with SMS 2.0, the case of the Galeries Lafayette virtual assistant.","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
Mobile Marketing Consulting
MARKETING / DATA / CUSTOMER RELATIONS
Conversational commerce (bots,..)","Solutions Workshops","Reinvent the customer experience with SMS 2.0, the case of the Galeries Lafayette virtual assistant.","",""
"ATTRAQT","http://www.attraqt.com","","https://www.linkedin.com/company/attraqt/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact-fr@attraqt.com","10 rue Treilhard
75008 Paris
FRANCE
contact-fr@attraqt.com
http://www.attraqt.com","","","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
E-merchandising
RETAIL TECH / DIGITAL IN STORE
AI","","","",""
"CRÉDIT AGRICOLE","https://www.credit-agricole.fr","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","alan.boyer@ca-ps.com","83 Boulevard des Chênes 
BP48
78042 Guyancourt Cedex 
FRANCE
alan.boyer@ca-ps.com
https://www.credit-agricole.fr","How to start as e-merchant : find out choices have opened up to you.","At Crédit Agricole, we care to support you for growing your business. This is why we we offer securised payment solutions with added value and services designed to match with your customers needs and your business management. Find out our solutions as electronic payment terminals, m-pos, e-commerce payment solutions, payments for marketplace, etc.) that will help you growing your revenue, managing your business and winning customers' loyalty.","NEW MEANS OF PAYMENT","IT FOR COMMERCE
Websites development / E-shops
MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
PAYMENT SOLUTIONS
Contactless payment
Payment card solutions
Payment Kiosk / Payment terminal
Secure payment
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
SERVICES
Funding bodies / Financial services / Insurance","Solutions Workshops","How to start as e-merchant : find out choices have opened up to you.","Linxo Connect","Pioneer in France, Linxo Connect offers Open Banking solutions (Accounts, Payments, Custom Solution) to reach user paths’ performance and optimization goals.
These solutions enable the development of new services for a wide range of uses, based on secure and fluid access to banking and payment data.
"
"STACKR","http://www.stackr-group.com","","https://www.linkedin.com/company/stackr/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@stackr-group.com","ZA des 2B
460 chemin du Derontet
01360 Beligneux
FRANCE
contact@stackr-group.com
http://www.stackr-group.com","","","DATA","RETAIL TECH / DIGITAL IN STORE
Security and sending systems
Softwares / ERP / Analytics","","","",""
"Transaction Network Services","https://tnsi.com/","","www.linkedin.com/company/tns","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","salestnsfrance@tnsi.com","1 rue Saint Georges
75009 Paris
FRANCE
salestnsfrance@tnsi.com
https://tnsi.com/","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
Cyber security
Digital Wallet
Fintech
M-payment
Online payment
Payment card solutions
Payment Kiosk / Payment terminal
Secure payment","","","",""
"Know Your People","https://knowyourpeople.fr/","","https://www.linkedin.com/company/know-your-people/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@knowyourpeople.fr","65 rue de la Cimaise
59650 Villeneuve d'Ascq
FRANCE
contact@knowyourpeople.fr
https://knowyourpeople.fr/","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Predictive marketing","","","",""
